NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,NAG,NAU,Dir,Conf,Schoenflies symbol,CSM,RMS
deca_Ag_03_Au_10_config_314,-11990.0381,-11990.39804,2.96806,0.13159,10,3,-0.75786923,-0.05829763,-0.82818769,-0.06370675,-11.543041,-0.887926,37,2.8477738,3,2.8483407,0.0811,16,2.8194687,0.4324,18,2.8728397,0.4865,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_314,C2v,0.0038,0.0061
deca_Ag_03_Au_10_config_315,-11990.28533,-11992.20753,1.00081,0.04892,10,3,-1.00509923,-0.07731533,-2.63767769,-0.20289828,-13.352532,-1.027118,32,2.8012862,1,2.8522806,0.0313,17,2.8188822,0.5313,14,2.776278,0.4375,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_315,Cs,0.1100,0.0332
deca_Ag_03_Au_10_config_316,-11990.291,-11991.29169,0.99511,0.18031,10,3,-1.01076923,-0.07775148,-1.72183769,-0.13244905,-12.43669,-0.956668,35,2.8387141,2,2.7855694,0.0571,17,2.8383172,0.4857,16,2.8457789,0.4571,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_316,NO,NA,NA
deca_Ag_03_Au_10_config_317,-11989.7026,-11991.96692,0.99379,0.17331,10,3,-0.42236923,-0.03248994,-2.39706769,-0.18438982,-13.111921,-1.008609,35,2.8366389,2,2.8334174,0.0571,14,2.8544736,0.4,19,2.8238366,0.5429,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_317,NO,NA,NA
deca_Ag_03_Au_10_config_318,-11989.8241,-11992.25134,0.99713,0.19617,10,3,-0.54386923,-0.04183609,-2.68148769,-0.20626828,-13.39634,-1.030488,35,2.8323712,2,2.9059339,0.0571,16,2.8388066,0.4571,17,2.8176594,0.4857,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_318,NO,NA,NA
deca_Ag_03_Au_10_config_319,-11989.7274,-11991.85733,0.99437,0.17603,10,3,-0.44716923,-0.03439763,-2.28747769,-0.17595982,-13.002332,-1.000179,34,2.8296418,3,2.8428047,0.0882,13,2.8590088,0.3824,18,2.8062384,0.5294,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_319,NO,NA,NA
deca_Ag_03_Au_10_config_320,-11989.924,-11991.82544,0.99321,0.17049,10,3,-0.64376923,-0.04952071,-2.25558769,-0.17350675,-12.970439,-0.997726,34,2.8267937,1,2.7340038,0.0294,13,2.8279512,0.3824,20,2.8306813,0.5882,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_320,NO,NA,NA
deca_Ag_03_Au_10_config_321,-11990.0155,-11992.08558,0.9925,0.1675,10,3,-0.73526923,-0.05655917,-2.51572769,-0.19351752,-13.230578,-1.017737,34,2.8154545,0,0,0,16,2.8085172,0.4706,18,2.8216219,0.5294,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_321,NO,NA,NA
deca_Ag_03_Au_10_config_322,-11989.8818,-11991.91572,0.98897,0.15583,10,3,-0.60156923,-0.04627456,-2.34586769,-0.18045136,-13.060716,-1.00467,34,2.8181725,1,2.7732477,0.0294,15,2.8232725,0.4412,18,2.8164182,0.5294,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_322,NO,NA,NA
deca_Ag_03_Au_10_config_323,-11990.1323,-11991.07927,0.99823,0.21082,10,3,-0.85206923,-0.06554379,-1.50941769,-0.11610905,-12.224273,-0.940329,34,2.8247454,2,2.8843527,0.0588,14,2.8227522,0.4118,18,2.8196731,0.5294,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_323,Cs,0.0540,0.0232
deca_Ag_03_Au_10_config_324,-11990.1112,-11992.12739,0.99385,0.17341,10,3,-0.83096923,-0.06392071,-2.55753769,-0.19673367,-13.272393,-1.020953,34,2.823277,1,2.8842869,0.0294,15,2.8062315,0.4412,18,2.8340921,0.5294,Deca,3,10,Ag_03,deca_Ag_03_Au_10_config_324,NO,NA,NA
deca_Ag_04_Au_09_config_301,-12083.9722,-12085.60493,0.99641,0.18969,9,4,-1.42759231,-0.10981479,-2.75600692,-0.21200053,-14.326929,-1.102071,36,2.8355284,4,2.9757638,0.1111,19,2.7928629,0.5278,13,2.8547375,0.3611,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_301,NO,NA,NA
deca_Ag_04_Au_09_config_302,-12082.9016,-12085.29048,0.99552,0.18299,9,4,-0.35699231,-0.02746095,-2.44155692,-0.18781207,-14.012484,-1.077883,33,2.8134685,3,2.7940235,0.0909,17,2.832006,0.5152,13,2.793714,0.3939,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_302,NO,NA,NA
deca_Ag_04_Au_09_config_303,-12083.5734,-12084.74441,0.99597,0.18614,9,4,-1.02879231,-0.07913787,-1.89548692,-0.14580669,-13.466411,-1.035878,35,2.8286135,5,2.8644261,0.1429,19,2.824847,0.5429,11,2.8188407,0.3143,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_303,NO,NA,NA
deca_Ag_04_Au_09_config_304,-12083.4645,-12083.92645,0.99665,0.18887,9,4,-0.91989231,-0.07076095,-1.07752692,-0.08288669,-12.64845,-0.972958,37,2.8513994,5,2.8953071,0.1351,18,2.8067763,0.4865,14,2.8930907,0.3784,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_304,NO,NA,NA
deca_Ag_04_Au_09_config_305,-12083.7397,-12085.63169,0.99465,0.17764,9,4,-1.19509231,-0.09193018,-2.78276692,-0.21405899,-14.35369,-1.10413,32,2.7993658,3,2.8679292,0.0938,19,2.8012972,0.5938,10,2.7751267,0.3125,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_305,NO,NA,NA
deca_Ag_04_Au_09_config_306,-12083.73246,-12085.46684,0.99982,0.0594,9,4,-1.18785231,-0.09137325,-2.61791692,-0.20137823,-14.188839,-1.091449,34,2.8130898,4,2.852299,0.1176,17,2.8264246,0.5,13,2.7835875,0.3824,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_306,NO,NA,NA
deca_Ag_04_Au_09_config_307,-12083.6009,-12084.55122,0.99443,0.17644,9,4,-1.05629231,-0.08125325,-1.70229692,-0.13094592,-13.273215,-1.021017,35,2.8399055,4,2.8089871,0.1143,20,2.8649149,0.5714,11,2.8056786,0.3143,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_307,Cs,0.7021,0.0838
deca_Ag_04_Au_09_config_308,-12083.7531,-12085.53993,0.99741,0.19953,9,4,-1.20849231,-0.09296095,-2.69100692,-0.20700053,-14.261928,-1.097071,36,2.8383169,3,2.9324353,0.0833,19,2.8276958,0.5278,14,2.8325634,0.3889,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_308,NO,NA,NA
