deca_Ag_10_Au_03_config_312,-12641.1072,-12644.57479,0.998634,0.21878,3,10,1.023669,0.078744,-2.051439,-0.157803,-18.758789,-1.442984,34,2.8216839,21,2.8551841,0.6176,13,2.7675691,0.3824,0,0,0,Deca
deca_Ag_10_Au_03_config_307,-12643.2566,-12643.26063,0.994725,0.17498,3,10,-1.125731,-0.086595,-0.737279,-0.056714,-17.444629,-1.341895,37,2.8407395,23,2.8370342,0.6216,12,2.8267758,0.3243,2,2.9671316,0.0541,Deca
deca_Ag_10_Au_03_config_303,-12640.2572,-12643.60707,0.999942,0.17824,3,10,1.873669,0.144128,-1.083719,-0.083363,-17.791069,-1.368544,36,2.8592081,18,2.9329269,0.5,17,2.7647951,0.4722,1,3.1372974,0.0278,Deca
deca_Ag_03_Au_10_config_315,-11989.0831,-11992.20753,0.9937,0.17271,10,3,0.197131,0.015164,-2.63768,-0.202898,-13.352532,-1.027118,32,2.8012862,1,2.8522806,0.0313,17,2.8188822,0.5313,14,2.776278,0.4375,Deca
deca_Ag_03_Au_10_config_305,-11988.9654,-11991.87631,0.997456,0.19993,10,3,0.314831,0.024218,-2.306462,-0.17742,-13.021314,-1.00164,33,2.807508,3,2.7928085,0.0909,11,2.8202786,0.3333,19,2.8024354,0.5758,Deca
deca_Ag_03_Au_10_config_313,-11992.3115,-11992.32682,0.988114,0.15362,10,3,-3.031269,-0.233175,-2.756971,-0.212075,-13.471823,-1.036294,36,2.838995,2,2.9563193,0.0556,17,2.8273606,0.4722,17,2.8368263,0.4722,Deca
deca_Ag_08_Au_05_config_353,-12458.4252,-12458.42817,0.991362,0.16322,5,8,-2.823085,-0.21716,-2.462964,-0.189459,-17.458172,-1.342936,36,2.8393843,15,2.8833072,0.4167,18,2.7811234,0.5,3,2.969332,0.0833,Deca
deca_Ag_08_Au_05_config_386,-12458.3249,-12458.38187,0.999979,0.19575,5,8,-2.722785,-0.209445,-2.416658,-0.185897,-17.411866,-1.339374,36,2.8312399,15,2.8568916,0.4167,18,2.8058903,0.5,3,2.8550804,0.0833,Deca
deca_Ag_08_Au_05_config_351,-12454.5996,-12456.88858,2.99841,0.12289,5,8,1.002515,0.077117,-0.923376,-0.071029,-15.918584,-1.224506,37,2.8367224,15,2.8252461,0.4054,18,2.8320801,0.4865,4,2.90065,0.1081,Deca
deca_Ag_08_Au_05_config_380,-12458.3319,-12458.45192,0.999875,0.16655,5,8,-2.729785,-0.209983,-2.486714,-0.191286,-17.481922,-1.344763,35,2.8312068,16,2.8793254,0.4571,17,2.7840219,0.4857,2,2.8473229,0.0571,Deca
deca_Ag_08_Au_05_config_354,-12454.9101,-12458.18101,0.999968,0.19028,5,8,0.692015,0.053232,-2.215804,-0.170446,-17.211012,-1.323924,34,2.8165081,14,2.8393595,0.4118,19,2.7976093,0.5588,1,2.8556664,0.0294,Deca
deca_Ag_04_Au_09_config_314,-12081.6223,-12085.20494,0.991706,0.1644,9,4,0.922308,0.070947,-2.356016,-0.181232,-13.926939,-1.071303,36,2.8428121,5,2.7879026,0.1389,14,2.8877559,0.3889,17,2.8219488,0.4722,Deca
