"","NAME","E_KS..1st.","E_Free","Spin","Gap","N_Au","N_Ag","DE1stStep","DE1stSteppa","EEFinal","EEFinalpa","DE_Bulk","DE_Bulk_peratom","NBONDS","AVBONDLEN","NAGAGBONDS","AVAGAGBONDLEN","AGAGRATIO","NAGAUBONDS","AVAGAUBONDLEN","AGAURATIO","NAUAUBONDS","AVAUAUBONDLEN","AUAURATIO","Type","First"
"154","Ag_10_ICO_AgIco10_Au3_top_face_bottom",-12643.7662,-12644.0301,0.9994,0.187,3,10,-0.938031,-0.072156,-1.13366,-0.087205,-18.214,-1.401,41,2.873,25,2.8399,0.6098,16,2.9247,0.3902,0,0,0,"ICO","E_Final"
"160","Ag_11_ICO_AgIco11_Au2_top_bottom",-12736.8885,-12737.0341,3,0.0886,2,11,-0.714154,-0.054935,-0.80514,-0.061934,-18.795,-1.446,42,2.8761,30,2.8543,0.7143,12,2.9305,0.2857,0,0,0,"ICO","E_Final"
"163","Ag_12_ICO_AgIco12_Au1_face",-12829.7295,-12829.8758,3.0003,0.0931,1,12,-0.208977,-0.016075,-0.314328,-0.024179,-19.214,-1.478,42,2.8794,36,2.8704,0.8571,6,2.9334,0.1429,0,0,0,"ICO","E_Final"
"164","Ico_Ag13_Au00",-12922.8667,-12922.894,5,0.4343,0,13,0,0,0,0,-19.809,-1.524,42,2.8637,42,2.8637,1,0,0,0,0,0,0,"ICO","E_Final"
"11","Ico_Ag00_Au13",-11709.3664,-11709.5715,4.9999,0.3412,13,0,0,0,0,0,-7.985,-0.614,42,2.8946,0,0,0,0,0,0,42,2.8946,1,"ICO","E_1st"
"2","Ag_01_ICO_AuIco12_Ag1_center",-11803.3397,-11803.4386,4.9999,0.3382,12,1,-0.627123,-0.04824,-0.534652,-0.041127,-9.43,-0.725,42,2.8794,0,0,0,12,2.7773,0.2857,30,2.9203,0.7143,"ICO","E_1st"
"5","Ag_02_ICO_AuIco11_Ag2_face_center",-11896.8192,-11897.8269,0.9954,0.1825,11,2,-0.760446,-0.058496,-1.590387,-0.122337,-11.395,-0.877,36,2.8312,1,2.7213,0.0278,15,2.8401,0.4167,20,2.83,0.5556,"ICO","E_1st"
"9","Ag_03_ICO_Au_10_Ico13_config.303",-11990.5964,-11991.3893,0.9979,0.2052,10,3,-1.191469,-0.091651,-1.820353,-0.140027,-12.534,-0.964,36,2.8304,2,2.7664,0.0556,18,2.8356,0.5,16,2.8326,0.4444,"ICO","E_1st"
"30","Ag_04_ICO_AuIco9_Ag4_top_face_center_bottom",-12084.0311,-12084.7314,0.9946,0.1772,9,4,-1.279992,-0.098461,-1.829929,-0.140764,-13.453,-1.035,37,2.8704,4,2.8407,0.1081,21,2.8937,0.5676,12,2.8395,0.3243,"ICO","E_1st"
"36","Ag_05_ICO_Au_08_Ico13_config.310",-12177.7536,-12178.3044,0.9972,0.1976,8,5,-1.656315,-0.127409,-2.070456,-0.159266,-14.603,-1.123,39,2.8792,6,2.8801,0.1538,24,2.8636,0.6154,9,2.92,0.2308,"ICO","E_1st"
"58","Ag_06_ICO_Au_07_Ico13_config.309",-12271.1397,-12271.6985,0.9974,0.1991,7,6,-1.696238,-0.13048,-2.131997,-0.164,-15.574,-1.198,39,2.8753,9,2.9154,0.2308,24,2.8366,0.6154,6,2.9696,0.1538,"ICO","E_1st"
"99","Ag_07_ICO_Ag_07_Ico13_config.326",-12364.6107,-12365.0254,0.9991,0.111,6,7,-1.821062,-0.140082,-2.126467,-0.163574,-16.478,-1.268,39,2.8751,12,2.9236,0.3077,24,2.8304,0.6154,3,3.0389,0.0769,"ICO","E_1st"
"124","Ag_08_ICO_Ag_08_Ico13_config.319",-12457.6948,-12457.7731,0.9974,0.1997,5,8,-1.558985,-0.119922,-1.541682,-0.118591,-16.803,-1.293,41,2.8821,16,2.8414,0.3902,22,2.8784,0.5366,3,3.1275,0.0732,"ICO","E_1st"
"142","Ag_09_ICO_Ag_09_Ico13_config.315",-12550.8792,-12551.104,0.9991,0.1986,4,9,-1.397208,-0.107478,-1.539991,-0.118461,-17.711,-1.362,42,2.8771,20,2.8194,0.4762,20,2.9077,0.4762,2,3.1476,0.0476,"ICO","E_1st"
