NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type
deca_Ag_06_Au_07_config_384,-12270.0674,-12272.051091,0.995404,0.18220,7,6,-0.994038,-0.076464,-2.644026,-0.203387,-15.927091,-1.225161,35,2.8329608,9,2.9102824,0.2571,18,2.7891383,0.5143,8,2.8445716,0.2286,Deca
deca_Ag_06_Au_07_config_385,-12270.0367,-12271.337234,0.997207,0.19713,7,6,-0.963338,-0.074103,-1.930169,-0.148475,-15.213234,-1.170249,38,2.8616903,10,2.8851743,0.2632,21,2.8512514,0.5526,7,2.8594573,0.1842,Deca
deca_Ag_06_Au_07_config_386,-12270.2774,-12271.742895,0.995914,0.18574,7,6,-1.204038,-0.092618,-2.335830,-0.179679,-15.618895,-1.201453,35,2.8359463,10,2.9079633,0.2857,20,2.8102329,0.5714,5,2.7947621,0.1429,Deca
deca_Ag_06_Au_07_config_387,-12269.9764,-12270.569400,0.994511,0.17677,7,6,-0.903038,-0.069464,-1.162335,-0.089410,-14.445400,-1.111185,38,2.8577547,10,2.8019950,0.2632,18,2.8696020,0.4737,10,2.8921895,0.2632,Deca
deca_Ag_06_Au_07_config_388,-12270.1008,-12270.600223,0.992284,0.13989,7,6,-1.027438,-0.079034,-1.193158,-0.091781,-14.476223,-1.113556,37,2.8375328,9,2.8127632,0.2432,19,2.8319261,0.5135,9,2.8741391,0.2432,Deca
deca_Ag_06_Au_07_config_389,-12270.4039,-12272.157014,0.992961,0.16938,7,6,-1.330538,-0.102349,-2.749949,-0.211535,-16.033014,-1.233309,36,2.8406839,9,2.9089060,0.2500,20,2.8018975,0.5556,7,2.8637888,0.1944,Deca
deca_Ag_06_Au_07_config_390,-12270.2670,-12272.048923,0.996953,0.19453,7,6,-1.193638,-0.091818,-2.641858,-0.203220,-15.924923,-1.224994,36,2.8369861,9,2.8618946,0.2500,19,2.8061175,0.5278,8,2.8822730,0.2222,Deca
deca_Ag_06_Au_07_config_391,-12270.4237,-12270.985649,0.996868,0.19373,7,6,-1.350338,-0.103872,-1.578584,-0.121430,-14.861649,-1.143204,37,2.8467004,8,2.7965534,0.2162,21,2.8309021,0.5676,8,2.9383180,0.2162,Deca
deca_Ag_06_Au_07_config_392,-12270.4955,-12271.829016,0.997952,0.20647,7,6,-1.422138,-0.109395,-2.421951,-0.186304,-15.705016,-1.208078,38,2.8528910,9,2.8438959,0.2368,22,2.8418264,0.5789,7,2.8992305,0.1842,Deca
deca_Ag_06_Au_07_config_393,-12270.2233,-12270.708131,0.998620,0.21069,7,6,-1.149938,-0.088457,-1.301066,-0.100082,-14.584131,-1.121856,37,2.8379312,9,2.8021698,0.2432,19,2.8355956,0.5135,9,2.8786266,0.2432,Deca
deca_Ag_06_Au_07_config_394,-12270.5395,-12271.530290,0.996832,0.19344,7,6,-1.466138,-0.112780,-2.123225,-0.163325,-15.406290,-1.185099,38,2.8590014,8,2.8180594,0.2105,24,2.8380451,0.6316,6,2.9974124,0.1579,Deca
