Name	NAGAG	NAGAU	NAUAU	NTOT
47	AuIco7_Ag6_4face_top_face2_ini.txt-measurement	9	18	15	42
48	AuIco7_Ag6_4face_top_face2.txt-measurement	9	18	15	42
49	AuIco7_Ag6_5face_bottom_ini.txt-measurement	5	26	11	42
50	AuIco7_Ag6_5face_bottom.txt-measurement	5	26	11	42
51	AuIco7_Ag6_5face_center_ini.txt-measurement	10	22	10	42
52	AuIco7_Ag6_5face_center.txt-measurement	9	23	5	37
53	AuIco7_Ag6_5face_face2_ini.txt-measurement	7	22	13	42
54	AuIco7_Ag6_5face_face2.txt-measurement	8	20	7	35
55	AuIco7_Ag6_5face_top_ini.txt-measurement	10	16	16	42
56	AuIco7_Ag6_5face_top.txt-measurement	10	16	16	42
57	AuIco8_Ag5_2face_2face2_center_ini.txt-measurement	9	18	15	42
58	AuIco8_Ag5_2face_2face2_center.txt-measurement	9	16	12	37
59	AuIco8_Ag5_2face_2face2_top_ini.txt-measurement	7	16	19	42
60	AuIco8_Ag5_2face_2face2_top.txt-measurement	7	13	14	34
61	AuIco8_Ag5_2face_top_center_bottom_ini.txt-measurement	7	22	13	42
62	AuIco8_Ag5_2face_top_center_bottom.txt-measurement	7	22	13	42
63	AuIco8_Ag5_2face_top_center_face2_ini.txt-measurement	9	18	15	42
64	AuIco8_Ag5_2face_top_center_face2.txt-measurement	9	16	12	37
65	AuIco8_Ag5_3face_top_bottom_ini.txt-measurement	5	20	17	42
66	AuIco8_Ag5_3face_top_bottom.txt-measurement	5	20	17	42
67	AuIco8_Ag5_3face_top_center_ini.txt-measurement	9	18	15	42
68	AuIco8_Ag5_3face_top_center.txt-measurement	9	16	12	37
69	AuIco8_Ag5_3face_top_face2_ini.txt-measurement	7	16	19	42
70	AuIco8_Ag5_3face_top_face2.txt-measurement	7	16	16	39
71	AuIco8_Ag5_4face_bottom_ini.txt-measurement	3	24	15	42
72	AuIco8_Ag5_4face_bottom.txt-measurement	4	20	11	35
73	AuIco8_Ag5_4face_center_ini.txt-measurement	7	22	13	42
74	AuIco8_Ag5_4face_center.txt-measurement	8	20	7	35
75	AuIco8_Ag5_4face_face2_ini.txt-measurement	5	20	17	42
76	AuIco8_Ag5_4face_face2.txt-measurement	6	18	10	34
77	AuIco8_Ag5_5face_ini.txt-measurement	5	20	17	42
78	AuIco8_Ag5_5face.txt-measurement	6	17	11	34
79	AuIco8_Ag5_top_3face_center_bottom_ini.txt-measurement	7	22	13	42
80	AuIco8_Ag5_top_3face_center_bottom.txt-measurement	7	22	13	42
81	AuIco8_Ag5_top_face_center_face2_bottom_ini.txt-measurement	7	22	13	42
82	AuIco8_Ag5_top_face_center_face2_bottom.txt-measurement	7	22	10	39
83	AuIco9_Ag4_2face_2face2_ini.txt-measurement	5	14	23	42
84	AuIco9_Ag4_2face_2face2.txt-measurement	5	12	20	37
85	AuIco9_Ag4_3face_bottom_ini.txt-measurement	2	20	20	42
86	AuIco9_Ag4_3face_bottom.txt-measurement	4	17	13	34
87	AuIco9_Ag4_3face_center_ini.txt-measurement	5	20	17	42
88	AuIco9_Ag4_3face_center.txt-measurement	5	20	14	39
89	AuIco9_Ag4_3face_face2_ini.txt-measurement	4	16	22	42
90	AuIco9_Ag4_3face_face2.txt-measurement	2	16	18	36
