NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ag_04_ICO_Au_09_Ico13_config.312,-12083.6666,-12084.97,0.994,0.1739,9,4,-0.915492,-0.070422,-2.068483,-0.159114,-13.692,-1.053,33,2.8122,2,2.8021,0.0606,16,2.7741,0.4848,15,2.8542,0.4545,ICO,Cs,0.0138,0.0117,C3v
Ag_04_ICO_Au_09_Ico13_config.313,-12083.6559,-12084.3232,0.998,0.2081,9,4,-0.904792,-0.069599,-1.42169,-0.109361,-13.045,-1.003,35,2.8477,0,0,0,20,2.8174,0.5714,15,2.8882,0.4286,ICO,C2,7.7229,0.2779,Cs
Ag_04_ICO_Au_09_Ico13_config.314,-12083.4742,-12085.2224,0.996,0.1842,9,4,-0.723092,-0.055622,-2.320955,-0.178535,-13.944,-1.073,33,2.8086,1,2.9325,0.0303,20,2.7874,0.6061,12,2.8337,0.3636,ICO,NO,,,Cs
Ag_04_ICO_Au_09_Ico13_config.315,-12083.8818,-12085.2699,0.999,0.224,9,4,-1.130692,-0.086976,-2.368394,-0.182184,-13.992,-1.076,33,2.8165,2,2.8141,0.0606,20,2.8034,0.6061,11,2.8409,0.3333,ICO,C2v,0.1663,0.0408,Ih
Ag_04_ICO_AuIco9_Ag4_2face_2face2,-12083.2362,-12083.939,0.996,0.1881,9,4,-0.485092,-0.037315,-1.037508,-0.079808,-12.661,-0.974,36,2.8416,4,2.8521,0.1111,12,2.8215,0.3333,20,2.8515,0.5556,ICO,NO,,,C3v
Ag_04_ICO_AuIco9_Ag4_3face_bottom,-12083.2619,-12085.3315,0.995,0.1822,9,4,-0.510792,-0.039292,-2.43006,-0.186928,-14.054,-1.081,33,2.8082,3,2.8728,0.0909,17,2.7754,0.5152,13,2.8361,0.3939,ICO,Cs,0.0508,0.0225,NO
Ag_04_ICO_AuIco9_Ag4_3face_center,-12083.7449,-12084.5616,0.995,0.1794,9,4,-0.993792,-0.076446,-1.660104,-0.1277,-13.284,-1.022,38,2.8764,5,2.8979,0.1316,20,2.8927,0.5263,13,2.843,0.3421,ICO,NO,,,D2d
Ag_04_ICO_AuIco9_Ag4_3face_face2,-12083.2648,-12084.0691,0.998,0.1735,9,4,-0.513692,-0.039515,-1.167634,-0.089818,-12.791,-0.984,36,2.8408,2,2.9193,0.0556,16,2.8214,0.4444,18,2.8493,0.5,ICO,Cs,0.0334,0.0183,Ih
Ag_04_ICO_AuIco9_Ag4_top_2face_bottom,-12083.5438,-12084.2385,0.998,0.2033,9,4,-0.792692,-0.060976,-1.337018,-0.102848,-12.96,-0.997,36,2.84,2,2.8877,0.0556,16,2.8171,0.4444,18,2.8551,0.5,ICO,NO,,,Th
Ag_04_ICO_AuIco9_Ag4_top_2face_center,-12083.6303,-12084.4951,0.993,0.1702,9,4,-0.879192,-0.06763,-1.593602,-0.122585,-13.217,-1.017,36,2.8329,5,2.8325,0.1389,17,2.8239,0.4722,14,2.844,0.3889,ICO,Cs,0.0139,0.0118,C2v
Ag_04_ICO_AuIco9_Ag4_top_face_center_bottom,-12084.0311,-12084.7314,0.995,0.1772,9,4,-1.279992,-0.098461,-1.829929,-0.140764,-13.453,-1.035,37,2.8704,4,2.8407,0.1081,21,2.8937,0.5676,12,2.8395,0.3243,ICO,NO,,,NO
Ag_03_ICO_Au_10_Ico13_config.302,-11990.3893,-11991.7471,0.997,0.1961,10,3,-0.984369,-0.075721,-2.178149,-0.16755,-12.892,-0.992,33,2.8105,2,2.916,0.0606,15,2.8067,0.4545,16,2.8009,0.4848,ICO,NO,,,Ih
Ag_03_ICO_Au_10_Ico13_config.303,-11990.5964,-11991.3893,0.998,0.2052,10,3,-1.191469,-0.091651,-1.820353,-0.140027,-12.534,-0.964,36,2.8304,2,2.7664,0.0556,18,2.8356,0.5,16,2.8326,0.4444,ICO,D2h,0.4494,0.067,C2
Ag_03_ICO_Au_10_Ico13_config.308,-11990.0328,-11992.2833,0.992,0.1663,10,3,-0.627869,-0.048298,-2.714305,-0.208793,-13.428,-1.033,36,2.8351,3,3.1576,0.0833,18,2.808,0.5,15,2.8032,0.4167,ICO,C3v,0.0174,0.0132,C2v
Ag_03_ICO_AuIco10_Ag3_2face_center,-11990.1338,-11991.6702,0.997,0.1983,10,3,-0.728869,-0.056067,-2.101238,-0.161634,-12.815,-0.986,33,2.8115,3,2.923,0.0909,13,2.7898,0.3939,17,2.8084,0.5152,ICO,NO,,,C3v
Ag_03_ICO_AuIco10_Ag3_3face,-11989.6474,-11991.9868,0.995,0.1801,10,3,-0.242469,-0.018651,-2.417787,-0.185984,-13.132,-1.01,36,2.8339,3,2.9267,0.0833,15,2.8412,0.4167,18,2.8124,0.5,ICO,Cs,0.0162,0.0127,C3
Ag_03_ICO_AuIco10_Ag3_top_2face,-11989.9374,-11991.5572,1,0.2474,10,3,-0.532469,-0.040959,-1.988216,-0.15294,-12.702,-0.977,34,2.8288,3,2.8671,0.0882,12,2.8525,0.3529,19,2.8077,0.5588,ICO,NO,,,Ih
Ag_03_ICO_AuIco10_Ag3_top_2face2,-11989.7639,-11990.707,0.997,0.1918,10,3,-0.358969,-0.027613,-1.138009,-0.087539,-11.852,-0.912,36,2.8552,1,3.0792,0.0278,15,2.821,0.4167,20,2.8696,0.5556,ICO,NO,,,Ih
Ag_03_ICO_AuIco10_Ag3_top_face_bottom,-11990.138,-11992.1997,0.994,0.1719,10,3,-0.733069,-0.05639,-2.630764,-0.202366,-13.345,-1.027,34,2.821,1,2.9362,0.0294,17,2.8286,0.5,16,2.8057,0.4706,ICO,NO,,,Td
Ag_02_ICO_AuIco11_Ag2_face_bottom,-11896.4601,-11898.5363,0.998,0.2022,11,2,-0.401346,-0.030873,-2.299782,-0.176906,-12.104,-0.931,34,2.831,0,0,0,12,2.8089,0.3529,22,2.843,0.6471,ICO,NO,,,NO
Ag_02_ICO_AuIco11_Ag2_face_center,-11896.8192,-11897.8269,0.995,0.1825,11,2,-0.760446,-0.058496,-1.590387,-0.122337,-11.395,-0.877,36,2.8312,1,2.7213,0.0278,15,2.8401,0.4167,20,2.83,0.5556,ICO,C2v,0.2018,0.0449,Ih
Ag_02_ICO_AuIco11_Ag2_top_bottom,-11896.6731,-11897.5954,0.999,0.2286,11,2,-0.614346,-0.047257,-1.358908,-0.104531,-11.163,-0.859,36,2.8391,0,0,0,10,2.8174,0.2778,26,2.8475,0.7222,ICO,D2h,0.8896,0.0943,Ih
Ag_02_ICO_AuIco11_Ag2_top_face,-11896.3239,-11898.2862,0.999,0.2179,11,2,-0.265146,-0.020396,-2.049693,-0.157669,-11.854,-0.912,33,2.8111,1,2.8758,0.0303,10,2.8019,0.303,22,2.8124,0.6667,ICO,NO,,,NO
Ag_01_ICO_AuIco12_Ag1_center,-11803.3397,-11803.4386,5,0.3382,12,1,-0.627123,-0.04824,-0.534652,-0.041127,-9.43,-0.725,42,2.8794,0,0,0,12,2.7773,0.2857,30,2.9203,0.7143,ICO,Ih,0.0022,0.0046,NO
