NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
deca_Ag_11_Au_02_config_305,-12735.5651,-12737.082,0.99998,1.58783,2,11,-0.169844,-0.013065,-1.279582,-0.098429,16.032372,1.233259,35,2.8268888,23,2.8221936,0.6571,12,2.835887,0.3429,0,0,0,Deca,NO,,,NO
deca_Ag_11_Au_02_config_306,-12735.9781,-12737.11699,0.99819,0.21005,2,11,-0.582854,-0.044835,-1.314572,-0.101121,15.997382,1.230568,35,2.8381534,28,2.8449576,0.8,6,2.7608776,0.1714,1,3.1112845,0.0286,Deca,Cs,0.7563,0.087,Cs
deca_Ag_11_Au_02_config_307,-12736.0144,-12736.49742,0.9995,0.21158,2,11,-0.619154,-0.047627,-0.695002,-0.053462,16.616952,1.278227,37,2.8468208,27,2.8398542,0.7297,10,2.8656309,0.2703,0,0,0,Deca,Cs,2.3777,0.1542,D5h
deca_Ag_11_Au_02_config_308,-12735.9216,-12736.28152,0.99999,1.36779,2,11,-0.526334,-0.040487,-0.479102,-0.036854,16.832852,1.294835,37,2.8363655,28,2.8314884,0.7568,8,2.8383214,0.2162,1,2.9572701,0.027,Deca,C2v,0.5026,0.0709,D5h
deca_Ag_11_Au_02_config_309,-12736.1449,-12736.68226,0.99841,0.21176,2,11,-0.749654,-0.057666,-0.879842,-0.06768,16.432112,1.264009,37,2.8584237,28,2.861109,0.7568,9,2.8500683,0.2432,0,0,0,Deca,C2,0.1597,0.04,C2
deca_Ag_11_Au_02_config_310,-12735.7718,-12736.61051,0.99946,0.21751,2,11,-0.376554,-0.028966,-0.808092,-0.062161,16.503862,1.269528,37,2.8501348,27,2.847693,0.7297,10,2.8567271,0.2703,0,0,0,Deca,C2,0.2806,0.053,D2d
deca_Ag_12_Au_01_config_301,-12828.9152,-12829.34737,0.9992,1.75947,1,12,-0.255577,-0.01966,-0.265881,-0.020452,16.955917,1.304301,37,2.8368394,31,2.8304963,0.8378,6,2.8696127,0.1622,0,0,0,Deca,C5v,0.1188,0.0345,D5h
deca_Ag_12_Au_01_config_302,-12826.5625,-12829.00011,1.003,0.6553,1,12,2.097163,0.16132,0.081379,0.00626,17.303177,1.331014,37,2.8582971,25,2.8540096,0.6757,12,2.8672287,0.3243,0,0,0,Deca,D5h,0.0035,0.0059,D5h
deca_Ag_12_Au_01_config_303,-12829.0136,-12830.26446,0.99997,0.19833,1,12,-0.353977,-0.027229,-1.182971,-0.090998,16.038827,1.233756,35,2.8284178,31,2.8336837,0.8857,4,2.7876081,0.1143,0,0,0,Deca,NO,,,NO
deca_Ag_13_Au_00_config_301,-12921.924,-12922.36056,0.99902,0.22694,0,13,0,0,0,0,17.131642,1.317819,37,2.8437507,37,2.8437507,1,0,0,0,0,0,0,Deca,D5h,3.4598,0.186,D5h
